Wall time,Step,Value
1717123799.583402,227,3.7290592835859115e-09
1717123851.1896574,228,8.529640882493084e-10
1717123902.9796035,229,4.775821516034284e-09
1717123954.3525476,230,6.658524287495027e-10
1717124006.0617597,231,4.767064520905251e-09
1717124057.028365,232,6.776090244464683e-10
1717124108.3818893,233,4.204431913734652e-09
1717124159.411671,234,1.0030863917265265e-09
1717124210.5349944,235,3.6838918582304814e-09
1717124261.5014265,236,1.6054679807808725e-09
1717124312.9566574,237,3.2510705239019444e-09
1717124364.1097038,238,1.4210089771538037e-09
1717124415.5318213,239,3.3371232444068255e-09
1717124467.014497,240,1.2486122136223798e-09
1717124518.4797783,241,3.4058429410066537e-09
1717124569.5775921,242,1.5137952003030364e-09
1717124620.5071537,243,3.190046671264213e-09
1717124672.3394442,244,2.02491490242096e-09
1717124724.5687613,245,2.6930229157784424e-09
1717124776.0531018,246,1.330491605777695e-09
1717124827.6995041,247,4.078849702437992e-09
1717124879.2105014,248,7.762667175725824e-10
1717124930.922653,249,3.947700832895862e-09
